N    |  logged   accept
-----|-------------------
0    |      0,   100.00 %
25   |     25,   100.00 %
50   |     50,   100.00 %
75   |     75,   100.00 %
100  |    100,   100.00 %
125  |    125,   100.00 %
150  |    150,   100.00 %
175  |    175,   100.00 %
200  |    200,   100.00 %
225  |    225,   100.00 %
250  |    250,   100.00 %
275  |    275,   100.00 %
300  |    300,   100.00 %
325  |    325,   100.00 %
350  |    350,   100.00 %
375  |    375,   100.00 %
400  |    400,   100.00 %
425  |    425,   100.00 %
450  |    450,   100.00 %
475  |    475,   100.00 %
500  |    500,   100.00 %
525  |    525,   100.00 %
550  |    550,   100.00 %
575  |    575,   100.00 %
600  |    600,   100.00 %
625  |    625,   100.00 %
650  |    650,   100.00 %
675  |    657,   97.33 %
680  |    650,   95.59 %
685  |    652,   95.18 %
690  |    584,   84.64 %
695  |    544,   78.27 %
700  |    265,   37.86 %
705  |    555,   78.72 %
710  |    710,   100.00 %
715  |    236,   33.01 %
720  |    445,   61.81 %
725  |    166,   22.90 %
730  |    438,   60.00 %
735  |    631,   85.85 %
740  |    740,   100.00 %
745  |    744,   99.87 %
750  |    750,   100.00 %
755  |    755,   100.00 %
760  |    760,   100.00 %
765  |    214,   27.97 %
770  |    761,   98.83 %
775  |    775,   100.00 %
780  |    749,   96.03 %
785  |    499,   63.57 %
790  |    234,   29.62 %
795  |    280,   35.22 %
800  |    192,   24.00 %
805  |    271,   33.66 %
810  |    810,   100.00 %
815  |    812,   99.63 %
820  |    814,   99.27 %
825  |    825,   100.00 %
830  |    335,   40.36 %
835  |    350,   41.92 %
840  |    795,   94.64 %
845  |    752,   88.99 %
850  |    441,   51.88 %
855  |    445,   52.05 %
860  |    833,   96.86 %
865  |    720,   83.24 %
870  |    257,   29.54 %
875  |    418,   47.77 %
880  |    798,   90.68 %
885  |    855,   96.61 %
890  |    890,   100.00 %
895  |    859,   95.98 %
900  |    167,   18.56 %
905  |    905,   100.00 %
910  |    857,   94.18 %
915  |    195,   21.31 %
920  |    920,   100.00 %
925  |    858,   92.76 %
930  |    617,   66.34 %
935  |    467,   49.95 %
940  |    423,   45.00 %
945  |    942,   99.68 %
950  |    907,   95.47 %
955  |    738,   77.28 %
960  |    484,   50.42 %
965  |    875,   90.67 %
970  |    940,   96.91 %
975  |    404,   41.44 %
980  |    600,   61.22 %
985  |    920,   93.40 %
990  |    962,   97.17 %
995  |    596,   59.90 %
1000 |    529,   52.90 %
